date,year,month,event_category,event_count,fatalities,geographic_level,country,source
2001-09-01,2001,9,political_violence,4,6.0,national,Uganda,ACLED via HDX
2001-10-01,2001,10,civilian_targeting,3,0.0,national,Uganda,ACLED via HDX
2001-10-01,2001,10,demonstrations,0,,national,Uganda,ACLED via HDX
2001-10-01,2001,10,political_violence,4,0.0,national,Uganda,ACLED via HDX
2001-11-01,2001,11,civilian_targeting,5,0.0,national,Uganda,ACLED via HDX
2001-11-01,2001,11,demonstrations,0,,national,Uganda,ACLED via HDX
2001-11-01,2001,11,political_violence,7,2.0,national,Uganda,ACLED via HDX
2001-12-01,2001,12,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
2001-12-01,2001,12,demonstrations,0,,national,Uganda,ACLED via HDX
2001-12-01,2001,12,political_violence,1,0.0,national,Uganda,ACLED via HDX
2002-01-01,2002,1,civilian_targeting,4,9.0,national,Uganda,ACLED via HDX
2002-01-01,2002,1,demonstrations,1,,national,Uganda,ACLED via HDX
2002-01-01,2002,1,political_violence,6,9.0,national,Uganda,ACLED via HDX
2002-02-01,2002,2,civilian_targeting,5,18.0,national,Uganda,ACLED via HDX
2002-02-01,2002,2,demonstrations,0,,national,Uganda,ACLED via HDX
2002-02-01,2002,2,political_violence,7,20.0,national,Uganda,ACLED via HDX
2002-03-01,2002,3,civilian_targeting,9,17.0,national,Uganda,ACLED via HDX
2002-03-01,2002,3,demonstrations,1,,national,Uganda,ACLED via HDX
2002-03-01,2002,3,political_violence,11,30.0,national,Uganda,ACLED via HDX
2002-04-01,2002,4,civilian_targeting,3,6.0,national,Uganda,ACLED via HDX
2002-04-01,2002,4,demonstrations,1,,national,Uganda,ACLED via HDX
2002-04-01,2002,4,political_violence,7,21.0,national,Uganda,ACLED via HDX
2002-05-01,2002,5,civilian_targeting,3,7.0,national,Uganda,ACLED via HDX
2002-05-01,2002,5,demonstrations,1,,national,Uganda,ACLED via HDX
2002-05-01,2002,5,political_violence,18,34.0,national,Uganda,ACLED via HDX
2002-06-01,2002,6,civilian_targeting,21,34.0,national,Uganda,ACLED via HDX
2002-06-01,2002,6,demonstrations,0,,national,Uganda,ACLED via HDX
2002-06-01,2002,6,political_violence,30,44.0,national,Uganda,ACLED via HDX
2002-07-01,2002,7,civilian_targeting,28,131.0,national,Uganda,ACLED via HDX
2002-07-01,2002,7,demonstrations,1,,national,Uganda,ACLED via HDX
2002-07-01,2002,7,political_violence,60,383.0,national,Uganda,ACLED via HDX
2002-08-01,2002,8,civilian_targeting,31,55.0,national,Uganda,ACLED via HDX
2002-08-01,2002,8,demonstrations,1,,national,Uganda,ACLED via HDX
2002-08-01,2002,8,political_violence,54,192.0,national,Uganda,ACLED via HDX
2002-09-01,2002,9,civilian_targeting,49,183.0,national,Uganda,ACLED via HDX
2002-09-01,2002,9,demonstrations,0,,national,Uganda,ACLED via HDX
2002-09-01,2002,9,political_violence,80,277.0,national,Uganda,ACLED via HDX
2002-10-01,2002,10,civilian_targeting,24,161.0,national,Uganda,ACLED via HDX
2002-10-01,2002,10,demonstrations,1,,national,Uganda,ACLED via HDX
2002-10-01,2002,10,political_violence,54,270.0,national,Uganda,ACLED via HDX
2002-11-01,2002,11,civilian_targeting,19,131.0,national,Uganda,ACLED via HDX
2002-11-01,2002,11,demonstrations,0,,national,Uganda,ACLED via HDX
2002-11-01,2002,11,political_violence,55,371.0,national,Uganda,ACLED via HDX
2002-12-01,2002,12,civilian_targeting,20,48.0,national,Uganda,ACLED via HDX
2002-12-01,2002,12,demonstrations,0,,national,Uganda,ACLED via HDX
2002-12-01,2002,12,political_violence,73,207.0,national,Uganda,ACLED via HDX
2003-01-01,2003,1,civilian_targeting,20,61.0,national,Uganda,ACLED via HDX
2003-01-01,2003,1,demonstrations,1,,national,Uganda,ACLED via HDX
2003-01-01,2003,1,political_violence,46,163.0,national,Uganda,ACLED via HDX
2003-02-01,2003,2,civilian_targeting,22,161.0,national,Uganda,ACLED via HDX
2003-02-01,2003,2,demonstrations,2,,national,Uganda,ACLED via HDX
2003-02-01,2003,2,political_violence,44,188.0,national,Uganda,ACLED via HDX
2003-03-01,2003,3,civilian_targeting,23,69.0,national,Uganda,ACLED via HDX
2003-03-01,2003,3,demonstrations,0,,national,Uganda,ACLED via HDX
2003-03-01,2003,3,political_violence,46,84.0,national,Uganda,ACLED via HDX
2003-04-01,2003,4,civilian_targeting,27,77.0,national,Uganda,ACLED via HDX
2003-04-01,2003,4,demonstrations,2,,national,Uganda,ACLED via HDX
2003-04-01,2003,4,political_violence,43,127.0,national,Uganda,ACLED via HDX
2003-05-01,2003,5,civilian_targeting,36,90.0,national,Uganda,ACLED via HDX
2003-05-01,2003,5,demonstrations,0,,national,Uganda,ACLED via HDX
2003-05-01,2003,5,political_violence,60,163.0,national,Uganda,ACLED via HDX
2003-06-01,2003,6,civilian_targeting,68,324.0,national,Uganda,ACLED via HDX
2003-06-01,2003,6,demonstrations,0,,national,Uganda,ACLED via HDX
2003-06-01,2003,6,political_violence,101,457.0,national,Uganda,ACLED via HDX
2003-07-01,2003,7,civilian_targeting,24,94.0,national,Uganda,ACLED via HDX
2003-07-01,2003,7,demonstrations,0,,national,Uganda,ACLED via HDX
2003-07-01,2003,7,political_violence,43,135.0,national,Uganda,ACLED via HDX
2003-08-01,2003,8,civilian_targeting,29,284.0,national,Uganda,ACLED via HDX
2003-08-01,2003,8,demonstrations,2,,national,Uganda,ACLED via HDX
2003-08-01,2003,8,political_violence,63,356.0,national,Uganda,ACLED via HDX
2003-09-01,2003,9,civilian_targeting,20,80.0,national,Uganda,ACLED via HDX
2003-09-01,2003,9,demonstrations,0,,national,Uganda,ACLED via HDX
2003-09-01,2003,9,political_violence,43,130.0,national,Uganda,ACLED via HDX
2003-10-01,2003,10,civilian_targeting,31,158.0,national,Uganda,ACLED via HDX
2003-10-01,2003,10,demonstrations,0,,national,Uganda,ACLED via HDX
2003-10-01,2003,10,political_violence,58,237.0,national,Uganda,ACLED via HDX
2003-11-01,2003,11,civilian_targeting,34,377.0,national,Uganda,ACLED via HDX
2003-11-01,2003,11,demonstrations,0,,national,Uganda,ACLED via HDX
2003-11-01,2003,11,political_violence,76,659.0,national,Uganda,ACLED via HDX
2003-12-01,2003,12,civilian_targeting,19,91.0,national,Uganda,ACLED via HDX
2003-12-01,2003,12,demonstrations,1,,national,Uganda,ACLED via HDX
2003-12-01,2003,12,political_violence,28,140.0,national,Uganda,ACLED via HDX
2004-01-01,2004,1,civilian_targeting,11,71.0,national,Uganda,ACLED via HDX
2004-01-01,2004,1,demonstrations,0,,national,Uganda,ACLED via HDX
2004-01-01,2004,1,political_violence,43,146.0,national,Uganda,ACLED via HDX
2004-02-01,2004,2,civilian_targeting,20,466.0,national,Uganda,ACLED via HDX
2004-02-01,2004,2,demonstrations,1,,national,Uganda,ACLED via HDX
2004-02-01,2004,2,political_violence,41,521.0,national,Uganda,ACLED via HDX
2004-03-01,2004,3,civilian_targeting,11,40.0,national,Uganda,ACLED via HDX
2004-03-01,2004,3,demonstrations,0,,national,Uganda,ACLED via HDX
2004-03-01,2004,3,political_violence,37,81.0,national,Uganda,ACLED via HDX
2004-04-01,2004,4,civilian_targeting,26,69.0,national,Uganda,ACLED via HDX
2004-04-01,2004,4,demonstrations,3,,national,Uganda,ACLED via HDX
2004-04-01,2004,4,political_violence,63,214.0,national,Uganda,ACLED via HDX
2004-05-01,2004,5,civilian_targeting,15,44.0,national,Uganda,ACLED via HDX
2004-05-01,2004,5,demonstrations,0,,national,Uganda,ACLED via HDX
2004-05-01,2004,5,political_violence,30,72.0,national,Uganda,ACLED via HDX
2004-06-01,2004,6,civilian_targeting,9,92.0,national,Uganda,ACLED via HDX
2004-06-01,2004,6,demonstrations,1,,national,Uganda,ACLED via HDX
2004-06-01,2004,6,political_violence,29,165.0,national,Uganda,ACLED via HDX
2004-07-01,2004,7,civilian_targeting,2,2.0,national,Uganda,ACLED via HDX
2004-07-01,2004,7,demonstrations,0,,national,Uganda,ACLED via HDX
2004-07-01,2004,7,political_violence,9,25.0,national,Uganda,ACLED via HDX
2004-08-01,2004,8,civilian_targeting,2,26.0,national,Uganda,ACLED via HDX
2004-08-01,2004,8,demonstrations,1,,national,Uganda,ACLED via HDX
2004-08-01,2004,8,political_violence,16,62.0,national,Uganda,ACLED via HDX
2004-09-01,2004,9,civilian_targeting,1,0.0,national,Uganda,ACLED via HDX
2004-09-01,2004,9,demonstrations,1,,national,Uganda,ACLED via HDX
2004-09-01,2004,9,political_violence,11,37.0,national,Uganda,ACLED via HDX
2004-10-01,2004,10,civilian_targeting,2,2.0,national,Uganda,ACLED via HDX
2004-10-01,2004,10,demonstrations,0,,national,Uganda,ACLED via HDX
2004-10-01,2004,10,political_violence,20,52.0,national,Uganda,ACLED via HDX
2004-11-01,2004,11,civilian_targeting,7,10.0,national,Uganda,ACLED via HDX
2004-11-01,2004,11,demonstrations,2,,national,Uganda,ACLED via HDX
2004-11-01,2004,11,political_violence,15,27.0,national,Uganda,ACLED via HDX
2004-12-01,2004,12,civilian_targeting,2,8.0,national,Uganda,ACLED via HDX
2004-12-01,2004,12,demonstrations,0,,national,Uganda,ACLED via HDX
2004-12-01,2004,12,political_violence,11,13.0,national,Uganda,ACLED via HDX
2005-01-01,2005,1,civilian_targeting,7,9.0,national,Uganda,ACLED via HDX
2005-01-01,2005,1,demonstrations,1,,national,Uganda,ACLED via HDX
2005-01-01,2005,1,political_violence,22,65.0,national,Uganda,ACLED via HDX
2005-02-01,2005,2,civilian_targeting,8,55.0,national,Uganda,ACLED via HDX
2005-02-01,2005,2,demonstrations,0,,national,Uganda,ACLED via HDX
2005-02-01,2005,2,political_violence,20,77.0,national,Uganda,ACLED via HDX
2005-03-01,2005,3,civilian_targeting,13,157.0,national,Uganda,ACLED via HDX
2005-03-01,2005,3,demonstrations,4,,national,Uganda,ACLED via HDX
2005-03-01,2005,3,political_violence,36,253.0,national,Uganda,ACLED via HDX
2005-04-01,2005,4,civilian_targeting,10,20.0,national,Uganda,ACLED via HDX
2005-04-01,2005,4,demonstrations,0,,national,Uganda,ACLED via HDX
2005-04-01,2005,4,political_violence,36,131.0,national,Uganda,ACLED via HDX
2005-05-01,2005,5,civilian_targeting,5,7.0,national,Uganda,ACLED via HDX
2005-05-01,2005,5,demonstrations,0,,national,Uganda,ACLED via HDX
2005-05-01,2005,5,political_violence,20,62.0,national,Uganda,ACLED via HDX
2005-06-01,2005,6,civilian_targeting,6,36.0,national,Uganda,ACLED via HDX
2005-06-01,2005,6,demonstrations,3,,national,Uganda,ACLED via HDX
2005-06-01,2005,6,political_violence,17,77.0,national,Uganda,ACLED via HDX
2005-07-01,2005,7,civilian_targeting,8,55.0,national,Uganda,ACLED via HDX
2005-07-01,2005,7,demonstrations,1,,national,Uganda,ACLED via HDX
2005-07-01,2005,7,political_violence,18,87.0,national,Uganda,ACLED via HDX
2005-08-01,2005,8,civilian_targeting,3,20.0,national,Uganda,ACLED via HDX
2005-08-01,2005,8,demonstrations,1,,national,Uganda,ACLED via HDX
2005-08-01,2005,8,political_violence,14,90.0,national,Uganda,ACLED via HDX
2005-09-01,2005,9,civilian_targeting,5,19.0,national,Uganda,ACLED via HDX
2005-09-01,2005,9,demonstrations,0,,national,Uganda,ACLED via HDX
2005-09-01,2005,9,political_violence,18,72.0,national,Uganda,ACLED via HDX
2005-10-01,2005,10,civilian_targeting,9,51.0,national,Uganda,ACLED via HDX
2005-10-01,2005,10,demonstrations,0,,national,Uganda,ACLED via HDX
2005-10-01,2005,10,political_violence,21,96.0,national,Uganda,ACLED via HDX
2005-11-01,2005,11,civilian_targeting,3,6.0,national,Uganda,ACLED via HDX
2005-11-01,2005,11,demonstrations,5,,national,Uganda,ACLED via HDX
2005-11-01,2005,11,political_violence,7,6.0,national,Uganda,ACLED via HDX
